team,rating,matches,last_date
Spain,2132.6,49518,2026-07-19
Argentina,2122.0,49518,2026-07-19
France,2081.8,49518,2026-07-19
England,2022.6,49518,2026-07-19
Brazil,1996.8,49518,2026-07-19
Netherlands,1964.7,49518,2026-07-19
Portugal,1957.7,49518,2026-07-19
Norway,1933.6,49518,2026-07-19
Belgium,1932.6,49518,2026-07-19
Colombia,1921.0,49518,2026-07-19
Germany,1913.0,49518,2026-07-19
Morocco,1908.4,49518,2026-07-19
Italy,1881.6,49518,2026-07-19
Mexico,1871.9,49518,2026-07-19
Switzerland,1867.8,49518,2026-07-19
Croatia,1855.8,49518,2026-07-19
Japan,1851.4,49518,2026-07-19
Turkey,1835.5,49518,2026-07-19
Uruguay,1818.8,49518,2026-07-19
Senegal,1799.6,49518,2026-07-19
Denmark,1789.8,49518,2026-07-19
Ecuador,1786.5,49518,2026-07-19
United States,1783.2,49518,2026-07-19
Australia,1775.6,49518,2026-07-19
Sweden,1774.5,49518,2026-07-19
Iran,1756.1,49518,2026-07-19
Ivory Coast,1736.1,49518,2026-07-19
Nigeria,1734.6,49518,2026-07-19
South Korea,1733.8,49518,2026-07-19
Canada,1721.3,49518,2026-07-19
Algeria,1708.9,49518,2026-07-19
Egypt,1707.6,49518,2026-07-19
Poland,1704.3,49518,2026-07-19
Serbia,1686.1,49518,2026-07-19
Paraguay,1683.7,49518,2026-07-19
Ghana,1666.8,49518,2026-07-19
Austria,1660.1,49518,2026-07-19
Ukraine,1651.9,49518,2026-07-19
Saudi Arabia,1644.8,49518,2026-07-19
Cameroon,1638.8,49518,2026-07-19
DR Congo,1637.1,49518,2026-07-19
Tunisia,1630.7,49518,2026-07-19
Venezuela,1621.8,49518,2026-07-19
Czech Republic,1612.6,49518,2026-07-19
Scotland,1609.7,49518,2026-07-19
Kosovo,1600.5,49518,2026-07-19
Costa Rica,1597.6,49518,2026-07-19
Northern Cyprus,1596.8,49518,2026-07-19
Panama,1594.2,49518,2026-07-19
Russia,1588.8,49518,2026-07-19
Mali,1587.3,49518,2026-07-19
Thailand,1584.9,49518,2026-07-19
Cape Verde,1584.5,49518,2026-07-19
Honduras,1582.1,49518,2026-07-19
Hungary,1581.7,49518,2026-07-19
Syria,1580.3,49518,2026-07-19
Burkina Faso,1579.9,49518,2026-07-19
Republic of Ireland,1578.6,49518,2026-07-19
South Africa,1577.2,49518,2026-07-19
Wales,1576.4,49518,2026-07-19
Greece,1575.2,49518,2026-07-19
Jamaica,1573.0,49518,2026-07-19
Jordan,1572.5,49518,2026-07-19
Slovakia,1570.6,49518,2026-07-19
Slovenia,1569.6,49518,2026-07-19
Israel,1568.9,49518,2026-07-19
Uzbekistan,1568.8,49518,2026-07-19
Malaysia,1566.6,49518,2026-07-19
Bosnia and Herzegovina,1564.7,49518,2026-07-19
United Arab Emirates,1563.0,49518,2026-07-19
Iraq,1562.0,49518,2026-07-19
Romania,1561.9,49518,2026-07-19
Haiti,1561.8,49518,2026-07-19
Georgia,1558.0,49518,2026-07-19
Chile,1556.3,49518,2026-07-19
Lebanon,1555.9,49518,2026-07-19
Vietnam,1554.8,49518,2026-07-19
Tajikistan,1552.3,49518,2026-07-19
Curaçao,1548.6,49518,2026-07-19
Albania,1546.4,49518,2026-07-19
Philippines,1545.9,49518,2026-07-19
Guyana,1545.5,49518,2026-07-19
Northern Ireland,1545.3,49518,2026-07-19
Guatemala,1545.1,49518,2026-07-19
Qatar,1544.6,49518,2026-07-19
Yemen,1543.0,49518,2026-07-19
Isle of Man,1540.5,49518,2026-07-19
North Macedonia,1540.3,49518,2026-07-19
Tamil Eelam,1538.5,49518,2026-07-19
Peru,1536.7,49518,2026-07-19
New Zealand,1536.5,49518,2026-07-19
Angola,1535.8,49518,2026-07-19
Suriname,1535.5,49518,2026-07-19
Guinea,1533.8,49518,2026-07-19
Palestine,1532.5,49518,2026-07-19
Gambia,1529.1,49518,2026-07-19
Jersey,1528.5,49518,2026-07-19
Madagascar,1528.5,49518,2026-07-19
Oman,1527.7,49518,2026-07-19
New Caledonia,1527.5,49518,2026-07-19
Bolivia,1526.5,49518,2026-07-19
Dominican Republic,1524.8,49518,2026-07-19
Iceland,1524.7,49518,2026-07-19
Indonesia,1524.6,49518,2026-07-19
Gabon,1522.2,49518,2026-07-19
Libya,1521.9,49518,2026-07-19
Greenland,1521.8,49518,2026-07-19
China,1521.5,49518,2026-07-19
Ynys Môn,1520.9,49518,2026-07-19
Saint Martin,1520.8,49518,2026-07-19
Guadeloupe,1519.6,49518,2026-07-19
Benin,1519.0,49518,2026-07-19
Puerto Rico,1517.4,49518,2026-07-19
Uganda,1516.0,49518,2026-07-19
Finland,1514.7,49518,2026-07-19
Niger,1514.2,49518,2026-07-19
Belarus,1511.4,49518,2026-07-19
Turkmenistan,1510.3,49518,2026-07-19
Basque Country,1509.8,49518,2026-07-19
Zambia,1509.1,49518,2026-07-19
Tahiti,1509.0,49518,2026-07-19
Bahrain,1508.6,49518,2026-07-19
Sierra Leone,1508.4,49518,2026-07-19
Kenya,1507.8,49518,2026-07-19
Zanzibar,1507.8,49518,2026-07-19
Isle of Wight,1506.8,49518,2026-07-19
Trinidad and Tobago,1506.4,49518,2026-07-19
Guernsey,1506.3,49518,2026-07-19
Orkney,1506.1,49518,2026-07-19
Padania,1505.2,49518,2026-07-19
Hitra,1504.4,49518,2026-07-19
Togo,1503.7,49518,2026-07-19
Abkhazia,1503.3,49518,2026-07-19
Chameria,1503.3,49518,2026-07-19
Maule Sur,1502.9,49518,2026-07-19
Székely Land,1502.6,49518,2026-07-19
Elba Island,1502.6,49518,2026-07-19
Kernow,1502.3,49518,2026-07-19
Shetland,1502.2,49518,2026-07-19
Réunion,1502.1,49518,2026-07-19
Kárpátalja,1501.7,49518,2026-07-19
Biafra,1501.5,49518,2026-07-19
Singapore,1501.4,49518,2026-07-19
Panjab,1501.3,49518,2026-07-19
Yorkshire,1501.2,49518,2026-07-19
Mayotte,1501.1,49518,2026-07-19
Saint Barthélemy,1500.9,49518,2026-07-19
Cascadia,1500.8,49518,2026-07-19
Mapuche,1500.8,49518,2026-07-19
Iraqi Kurdistan,1500.5,49518,2026-07-19
Ellan Vannin,1500.5,49518,2026-07-19
Parishes of Jersey,1500.5,49518,2026-07-19
Saint Vincent and the Grenadines,1500.4,49518,2026-07-19
Occitania,1500.4,49518,2026-07-19
Artsakh,1500.4,49518,2026-07-19
South Ossetia,1500.4,49518,2026-07-19
County of Nice,1500.4,49518,2026-07-19
Western Armenia,1500.4,49518,2026-07-19
Surrey,1500.3,49518,2026-07-19
Catalonia,1500.2,49518,2026-07-19
Franconia,1500.2,49518,2026-07-19
French Guiana,1500.1,49518,2026-07-19
Arameans Suryoye,1500.1,49518,2026-07-19
Kurdistan,1500.1,49518,2026-07-19
Quebec,1500.1,49518,2026-07-19
Donetsk PR,1500.1,49518,2026-07-19
United Koreans in Japan,1500.1,49518,2026-07-19
Czechoslovakia,1500.0,49518,2026-07-19
Yugoslavia,1500.0,49518,2026-07-19
Provence,1500.0,49518,2026-07-19
Brittany,1500.0,49518,2026-07-19
Central Spain,1500.0,49518,2026-07-19
Andalusia,1500.0,49518,2026-07-19
Asturias,1500.0,49518,2026-07-19
Silesia,1500.0,49518,2026-07-19
Manchukuo,1500.0,49518,2026-07-19
German DR,1500.0,49518,2026-07-19
Saarland,1500.0,49518,2026-07-19
Vietnam Republic,1500.0,49518,2026-07-19
North Vietnam,1500.0,49518,2026-07-19
Wallis Islands and Futuna,1500.0,49518,2026-07-19
Corsica,1500.0,49518,2026-07-19
Western Australia,1500.0,49518,2026-07-19
Yemen DPR,1500.0,49518,2026-07-19
South Yemen,1500.0,49518,2026-07-19
Niue,1500.0,49518,2026-07-19
Palau,1500.0,49518,2026-07-19
Canary Islands,1500.0,49518,2026-07-19
Micronesia,1500.0,49518,2026-07-19
Rhodes,1500.0,49518,2026-07-19
Monaco,1500.0,49518,2026-07-19
Sark,1500.0,49518,2026-07-19
Sealand,1500.0,49518,2026-07-19
Chechnya,1500.0,49518,2026-07-19
Ambazonia,1500.0,49518,2026-07-19
Republic of St. Pauli,1500.0,49518,2026-07-19
Găgăuzia,1500.0,49518,2026-07-19
Crimea,1500.0,49518,2026-07-19
Cilento,1500.0,49518,2026-07-19
Madrid,1500.0,49518,2026-07-19
Saugeais,1500.0,49518,2026-07-19
Seborga,1500.0,49518,2026-07-19
Délvidék,1500.0,49518,2026-07-19
Kiribati,1499.9,49518,2026-07-19
Gotland,1499.9,49518,2026-07-19
Saare County,1499.9,49518,2026-07-19
Western Sahara,1499.9,49518,2026-07-19
Luhansk PR,1499.9,49518,2026-07-19
Felvidék,1499.9,49518,2026-07-19
Saint Pierre and Miquelon,1499.8,49518,2026-07-19
Ryūkyū,1499.8,49518,2026-07-19
Romani people,1499.7,49518,2026-07-19
Matabeleland,1499.7,49518,2026-07-19
Somaliland,1499.6,49518,2026-07-19
Darfur,1499.4,49518,2026-07-19
West Papua,1499.4,49518,2026-07-19
Kabylia,1499.2,49518,2026-07-19
Faroe Islands,1499.1,49518,2026-07-19
Vatican City,1498.8,49518,2026-07-19
Papua New Guinea,1498.6,49518,2026-07-19
Yoruba Nation,1498.6,49518,2026-07-19
Hong Kong,1498.2,49518,2026-07-19
Sint Maarten,1498.1,49518,2026-07-19
Eritrea,1498.1,49518,2026-07-19
Barawa,1497.4,49518,2026-07-19
Mozambique,1497.3,49518,2026-07-19
Chagos Islands,1497.3,49518,2026-07-19
Kazakhstan,1496.8,49518,2026-07-19
Galicia,1496.5,49518,2026-07-19
Aymara,1496.3,49518,2026-07-19
Menorca,1496.0,49518,2026-07-19
Sápmi,1495.3,49518,2026-07-19
Hmong,1494.5,49518,2026-07-19
Bulgaria,1494.4,49518,2026-07-19
Comoros,1494.3,49518,2026-07-19
Western Isles,1494.3,49518,2026-07-19
Gozo,1494.2,49518,2026-07-19
Tuvalu,1492.9,49518,2026-07-19
Two Sicilies,1492.2,49518,2026-07-19
Rwanda,1491.9,49518,2026-07-19
Nicaragua,1491.7,49518,2026-07-19
East Turkestan,1491.7,49518,2026-07-19
North Korea,1491.5,49518,2026-07-19
Liberia,1490.9,49518,2026-07-19
Alderney,1490.7,49518,2026-07-19
Zimbabwe,1490.3,49518,2026-07-19
El Salvador,1490.0,49518,2026-07-19
Montenegro,1490.0,49518,2026-07-19
Åland Islands,1489.7,49518,2026-07-19
Northern Mariana Islands,1487.3,49518,2026-07-19
Vanuatu,1486.5,49518,2026-07-19
Falkland Islands,1486.2,49518,2026-07-19
Cuba,1485.5,49518,2026-07-19
Malawi,1485.4,49518,2026-07-19
Kyrgyzstan,1485.3,49518,2026-07-19
Sudan,1484.9,49518,2026-07-19
Aruba,1484.2,49518,2026-07-19
Kuwait,1481.4,49518,2026-07-19
Saint Helena,1480.9,49518,2026-07-19
Tonga,1478.6,49518,2026-07-19
Samoa,1478.4,49518,2026-07-19
Lesotho,1478.2,49518,2026-07-19
Marshall Islands,1477.8,49518,2026-07-19
Equatorial Guinea,1476.8,49518,2026-07-19
Mauritania,1475.2,49518,2026-07-19
Tanzania,1473.2,49518,2026-07-19
Tibet,1473.2,49518,2026-07-19
Ethiopia,1473.1,49518,2026-07-19
Namibia,1473.1,49518,2026-07-19
Cambodia,1471.5,49518,2026-07-19
Cook Islands,1470.9,49518,2026-07-19
Martinique,1470.4,49518,2026-07-19
Fiji,1468.9,49518,2026-07-19
Burundi,1467.0,49518,2026-07-19
Estonia,1466.6,49518,2026-07-19
Saint Kitts and Nevis,1463.1,49518,2026-07-19
United States Virgin Islands,1462.1,49518,2026-07-19
Canton Ticino,1462.1,49518,2026-07-19
Luxembourg,1461.8,49518,2026-07-19
Malta,1461.7,49518,2026-07-19
British Virgin Islands,1461.2,49518,2026-07-19
Pakistan,1461.1,49518,2026-07-19
